a	啊
dao4	倒到悼焘盗稻纛道
de	地的
de1	嘚
de2	得德锝
de5	地的
den4	扽
deng1	噔灯璒登蹬
deng3	戥等
deng4	凳嶝瞪磴邓镫
di1	低堤氐滴羝镝鞮䃅
di2	嘀嫡敌涤狄笛籴翟荻觌蹢迪髢𬱖
di3	底抵柢砥诋邸骶
di4	娣媂帝弟杕棣玓睇碲禘第缔菂蒂谛踶递䗖𤧛
dian1	巅掂滇甸癫颠
dian3	典点碘踮
dian4	佃坫垫奠店惦扂殿淀玷琔电癜簟钿阽靛
diao1	凋刁叼汈碉貂雕鲷
diao4	吊掉窎调钓铞铫
die1	嗲爹跌
die2	叠喋垤堞昳牒瓞碟绖耋蝶谍蹀迭鲽䏲𫶇
ding1	丁仃叮玎疔盯耵酊钉
ding3	顶鼎
ding4	啶定碇腚萣订铤锭
diu1	丢铥
dong1	东冬咚岽氡鸫𬟽
dong2	侗冻动垌峒恫栋洞硐胨胴
dong3	懂董
dou1	兜篼蔸都
dou2	斗痘窦豆逗
dou3	抖蚪陡
du1	厾嘟督阇
du2	椟毒渎牍犊独碡读髑黩
du3	堵睹笃赌
du4	妒度杜渡肚芏蠹镀𬭊
duan1	端耑
duan3	短
duan4	塅断椴段煅瑖簖缎锻
dui1	堆
dui4	兑对怼碓祋镦队
dun1	吨墩惇敦礅蹲蹾
dun3	盹趸
dun4	囤楯沌炖盾砘遁钝顿
duo1	剟咄哆多掇裰㙍
duo2	剁堕惰柁舵跺饳
duo3	亸哚垛埵朵躲
duo4	夺踱铎
e1	婀屙
e2	俄娥峨涐莪蛾讹锇额鹅
e3	𫫇
e4	厄呃噩垩姶崿恶愕扼腭苊萼谔轭遏鄂锷阏颚饿鳄鹗𥔲
en1	恩蒽
en4	摁
er2	儿而陑鲕鸸
er3	尔洱珥耳迩铒饵
er4	二佴咡贰
fa1	发
fa2	乏伐垡砝筏罚阀
fa3	法
fa4	珐
fan1	帆幡番翻蕃藩
fan2	凡墦樊烦燔璠矾繁蘩蹯钒𫔍𬸪
fan3	反返
fan4	梵氾泛犯畈范贩饭
fang1	坊方枋牥芳蚄邡钫
fang2	妨房肪防鲂
fang3	仿昉纺舫访
fang4	放
fei1	啡妃扉绯菲蜚霏非飞鲱𬴂
fei2	淝肥腓
fei3	匪悱斐朏棐榧篚翡诽
fei4	剕吠废沸狒痱肺芾费镄
fen1	分吩棻氛纷翂芬酚
fen2	坟棼汾焚豮鼢𣸣
fen3	粉
fen4	份偾奋忿愤瀵粪鲼
feng1	丰封峰崶枫沣沨烽疯砜葑蜂酆锋风
feng2	冯浲逢
feng3	唪讽
feng4	俸凤奉缝赗
fou3	否缶
fu1	呋垺夫孵敷玞砆稃肤趺跗鄜麸𫓧
fu2	伏佛俘凫匐孚幅幞弗怫扶拂服桴榑氟洑浮涪琈祓福符绂绋罘艴芙芣苻茀茯莩菔蚨蜉蝠袱辐郛韨黻
fu3	俯府抚拊斧滏甫簠腐腑辅釜黼㕮𫖯
fu4	付傅副咐复妇富父缚腹蝮覆讣负赋赙赴阜附馥驸鲋㳇
ga1	伽呷嘎旮
ga2	噶尜钆
ga3	尕
ga4	尬
gai1	垓晐荄该赅陔
gai3	改
gai4	丐戤概溉盖钙
gan1	坩尴杆柑泔玕甘疳矸竿肝苷酐
gan3	感扞擀敢橄澉秆赶鳡
gan4	干旰淦绀赣㽏
gang1	冈冮刚堽杠矼纲缸罡肛钢㭎
gang3	岗港
gang4	戆筻鿍
gao1	槔皋睾篙糕羔膏高
gao3	搞杲槁稿缟藁镐
gao4	告筶诰郜锆
ge1	仡割咯哥圪戈搁歌疙纥胳袼鸽
ge2	嗝塥格滆膈葛镉阁隔革骼鬲
ge3	哿舸
ge4	个各硌虼铬
gei3	给
gen1	根跟
gen2	哏
gen3	艮
gen4	亘茛
geng1	庚浭羹耕赓鹒
geng3	哽埂梗绠耿鲠𬒔
geng4	暅更
gong1	供公功宫工弓恭攻肱蚣觥躬龚䢼𬕂
gong2	共唝贡
gong3	巩拱汞珙
gou1	佝勾沟篝缑钩鞲
gou2	垢够姤媾彀构觏诟购遘雊
gou3	岣枸狗笱耇苟
gu1	估呱咕姑孤沽箍菇菰蛄觚轱辜酤鸪
gu3	古嘏榖毂汩瀔牯瞽罟羖股臌蓇蛊诂谷钴馉骨鹄鹘鼓𦙶
gu4	固堌崮故梏牿痼锢雇顾鲴
gua1	刮栝瓜聒胍鸹
gua3	剐寡
gua4	卦坬挂褂诖
guai1	乖掴
guai3	拐
guai4	夬怪
guan1	倌关冠官棺蒄观鳏
guan3	琯筦管莞馆鳤
guan4	惯掼毌涫灌爟瓘盥祼罐贯鹳
guang1	光咣垙桄洸珖胱𨐈
guang3	广犷
guang4	逛
gui1	傀圭妫廆归珪瑰皈硅规邽闺鬶鲑龟
gui3	匦姽宄庋晷氿癸簋诡轨鬼
gui4	刽刿柜桂桧炔筀贵跪鳜
gun3	滚磙绲衮辊鲧
gun4	棍
guo1	呙埚崞蝈郭锅
guo2	过
guo3	果椁粿蜾裹馃
guo4	国帼腘虢馘𬇹
ha1	哈铪
ha2	蛤
hai1	咍咳嗨
hai2	孩还骸
hai3	海胲醢
hai4	亥嗐害氦骇
han1	憨蚶酣顸鼾
han2	函含寒崡嵅晗浛涵焓琀虷邗邯韩
han3	喊罕蔊阚㘎
han4	垾悍憾捍撖撼旱暵汉汗瀚焊翰菡颔
hang1	夯
hang2	杭珩绗航颃
hang4	沆
hao1	嚆蒿薅
hao2	嗥嚎壕毫濠蚝豪貉
hao3	好郝
hao4	号昊浩淏灏皓皞耗鄗颢
he1	呵喝嗬诃
