a	啊
he2	何劾合和曷核河涸盉盍盒禾翮荷菏郃阂阖鞨颌饸鹖龁龢𬌗
he4	垎壑熇翯褐贺赫鹤
hei1	嘿黑𬭶
hen2	痕
hen3	很狠𬣳
hen4	恨
heng1	亨哼
heng2	姮恒桁横蘅衡鸻
heng4	堼
hong1	吽哄烘薨訇轰
hong2	讧
hong4	宏弘泓洪玒硔竑红纮翃荭蕻虹谼闳鸿黉𫟹𬭎
hou1	齁
hou2	候厚后垕堠逅郈鲎鲘
hou3	吼
hou4	侯喉猴瘊篌糇骺𬭤
hu1	乎呼唿忽惚昒淴滹烀轷
hu2	囫壶弧斛槲湖煳狐猢瑚糊縠胡葫蝴觳醐隺鹕
hu3	唬浒琥虎
hu4	互冱嫭岵怙户戽扈护昈沪瓠祜笏鄠鳠鹱
hua1	哗花
hua2	华滑猾铧骅
hua4	划化婳桦画觟话
huai2	徊怀槐淮踝
huai4	坏
huan1	欢獾
huan2	圜嬛寰峘桓洹澴环缳荁萑貆郇锾镮鬟鹮𤩽𬘫
huan3	缓
huan4	唤奂宦幻患换擐浣涣漶焕痪豢逭鲩㬊
huang1	慌肓荒
huang2	凰喤媓徨惶湟潢煌瑝璜癀皇篁簧艎蝗蟥遑锽隍鳇黄𨱑
huang3	幌恍晃谎
huang4	滉㿠
hui1	咴徽恢挥晖灰珲翚虺袆诙辉隳麾㧑
hui2	回洄烠茴蛔
hui3	悔毁
hui4	会卉哕喙彗恚惠慧晦橞汇浍烩秽绘翙荟蕙蟪讳诲贿𬤝
hun1	婚惛昏荤阍
hun2	浑馄魂
hun4	混溷诨
huo1	劐嚄攉耠豁锪𬴃
huo2	嚯惑或濩砉祸获藿蠖货镬霍㸌
huo3	伙夥漷火钬
huo4	佸活
ji1	乩击剞叽唧圾基墼姬屐嵇机枅激犄玑畸畿矶积稽笄箕绩缉羁肌芨觭讥赍跻迹饥鸡齑𫌀𫓯𫓹𬯀
ji2	亟伋佶即及吉姞嫉岌急戢极棘楫殛汲疾瘠笈籍级耤脊蒺蕺藉诘蹐辑集鹡
ji3	几嵴己戟挤掎虮鱾麂
ji4	伎偈冀剂垍妓季寂寄徛忌悸惎技既暨洎济漈瀱祭稷穄纪继罽芰荠蓟觊计记跽际霁骥髻鲚鲫𪟝𬶨𬶭
jia1	佳加嘉夹家枷泇浃珈痂笳茄葭袈跏迦镓𬂩
jia2	恝戛荚蛱袷郏铗颊
jia3	假叚岬斝槚甲瘕胛贾钾
jia4	价嫁架稼驾
jian1	兼坚奸尖戋搛歼湔煎犍监笺篯缄缣肩艰菅蒹间鞬鞯鲣鳒鹣
jian3	俭减剪戬拣捡暕枧柬检睑碱笕简翦茧裥謇谫趼蹇锏
jian4	件健僭剑建楗毽涧渐溅牮箭腱舰荐见谏贱践踺鉴键饯𬣡
jiang1	僵姜将江浆疆礓缰茳豇鳉
jiang3	奖桨耩膙蒋讲
jiang4	匠弶洚犟糨绛酱降
jiao1	交僬姣娇峧椒浇焦燋礁胶艽茭蕉蛟跤郊骄鲛鹪䴔
jiao3	佼侥剿徼恔搅敫湫狡璬皎皦矫绞缴脚角铰饺
jiao4	叫噍峤教斠滘漖皭窖藠轿较酵醮
jie1	喈嗟接揭湝疖皆秸街阶
jie2	劫劼婕孑岊截拮捷杰桀洁睫碣竭絜结羯节蜐讦颉鲒㛃
jie3	姐檞解
jie4	介借届悈戒玠界疥芥蚧褯诫骱
jin1	今巾斤津珒矜筋衿襟金𬬱
jin3	仅卺堇尽廑槿瑾紧谨锦馑
jin4	劲噤墐妗晋殣浕浸溍烬琎瑨祲禁缙荩觐赆近进靳
jing1	京兢惊旌晶泾猄睛粳精经腈茎荆菁鲸麖鼱䴖
jing3	井儆刭憬景汫璟璥肼警阱颈
jing4	倞净境婧径敬獍痉竞竟竫胫迳镜靓靖静
jiong1	坰扃𬳶
jiong3	冏泂炅炯窘迥颎䌹
jiu1	啾揪究纠赳阄鬏鸠
jiu3	久九灸玖酒韭
jiu4	僦厩咎就救旧柩桕疚臼舅鹫㠇
ju1	娵居崌拘掬椐泃狙琚疽砠腒苴菹裾趄锔雎鞠鞫驹𬶋
ju2	局桔橘焗菊䴗
ju3	举咀弆榉沮矩筥莒蒟踽龃
ju4	俱倨具剧句屦岠巨惧拒据澽炬犋秬窭聚苣讵距踞遽醵钜锯飓
juan1	娟捐涓焆蠲镌鹃
juan3	卷锩
juan4	倦桊狷眷绢鄄隽
jue1	噘撅
jue2	倔傕决劂厥噱嚼孓崛抉掘攫桷橛爝爵獗玃玦珏矍砄绝蕨觉觖诀谲蹶镢㵐𫔎𫘝
jun1	军君均皲莙菌钧鲪麇
jun4	俊峻捃晙浚焌珺畯竣郡骏䐃
ka1	咔咖喀
ka3	卡胩
kai1	开揩锎
kai3	凯剀垲恺慨楷蒈铠锴闿
kai4	忾炌
kan1	刊勘堪嵁戡龛
kan3	侃坎槛砍莰
kan4	墈崁看瞰磡衎
kang1	康慷糠闶𡐓𩾌
kang2	扛
kang4	亢伉抗炕钪
kao1	尻
kao3	拷栲洘烤考
kao4	犒铐靠㸆
ke1	匼嗑柯棵牁珂疴瞌磕科稞窠苛蝌轲颏颗髁
ke2	壳
ke3	可坷岢渴炣
ke4	克刻剋客恪氪溘缂课锞骒
ken3	啃垦恳肯龈
ken4	裉
keng1	吭坑硁铿
kong1	倥埪崆硿空箜
kong2	控
kong3	孔恐
kou1	抠眍芤𫸩
kou2	叩寇扣筘蔻
kou3	口
ku1	刳哭圐枯矻窟骷
ku3	苦
ku4	喾库绔裤酷
kua1	夸姱
kua3	侉垮
kua4	挎胯跨
kuai3	蒯㧟
kuai4	侩哙块快狯筷脍郐鲙
kuan1	宽髋
kuan3	款
kuang1	匡哐框洭筐诓
kuang2	狂诳𫛭
kuang3	夼
kuang4	况圹旷眶矿纩贶邝
kui1	亏岿悝盔窥
kui2	喹夔奎戣揆暌櫆睽葵蝰逵隗馗骙魁
kui3	煃跬𫠆
kui4	匮喟愦愧溃篑聩蒉馈
kun1	坤堃婫昆焜琨裈醌锟髡鲲鹍
kun3	壸悃捆阃
kun4	困
kuo2	廓扩括蛞阔
la	啦鞡
la1	垃拉邋
la2	剌旯砬
la3	喇
la4	瘌腊蜡蝲辣镴𬶟
lai2	俫崃徕来梾涞莱铼
lai4	濑癞睐籁赉赖
lan2	兰婪岚拦斓栏澜篮蓝褴襕谰镧阑𬒗
lan3	懒揽榄漤缆罱览
lan4	滥烂
lang1	啷
lang2	廊桹榔狼琅稂筤螂郎锒阆
lang3	塱朗烺蓢㮾
lang4	埌崀浪莨蒗㫰
lao1	捞
lao2	劳唠崂牢痨醪铹𫭼
lao3	佬姥栳橑潦老荖铑
lao4	嫪涝烙耢酪
le	了饹
le1	肋
le4	乐仂叻泐簕鳓
lei	嘞
lei1	勒
lei2	嫘擂檑礌缧罍羸镭雷
lei3	儡垒癗磊耒蕾藟诔
lei4	泪类累酹
leng2	塄崚棱楞
leng3	冷
leng4	堎愣
li1	哩
li2	厘喱嫠梨漓犁狸璃离篱缡罹蓠藜蜊蠡醨釐骊鲡鹂黎黧㰀
li3	俚娌峛李浬澧理礼逦醴里锂鲤鳢
li4	丽例俐俪傈凓利力励历厉吏呖唳坜戾朸枥栎栗沥溧猁珕疠疬痢砺砾立笠篥粒粝苈荔莅莉蛎詈跞轹郦隶雳𫵷𬍛
lia3	俩
lian2	奁帘廉怜梿涟濂磏联莲蠊裢连镰鲢
lian3	敛琏脸蔹裣
lian4	恋楝殓浰潋炼瑓练链𬶠
liang2	俍凉墚梁椋粮粱良踉辌𫟅
liang3	两魉𬜯
liang4	亮悢晾谅辆量
liao1	撩蹽
liao2	僚嘹嫽寥寮漻燎獠疗簝缭聊辽髎鹩
liao3	憭瞭蓼钌
liao4	尥廖撂料镣𪤗
lie3	咧
lie4	冽列劣埒捩洌烈猎脟裂趔躐鬣䴕𫚭
lin1	拎
lin2	临啉嶙林淋潾琳璘瞵磷箖粼翷辚遴邻霖鳞麟𬘭𬭸𬴊
lin3	凛廪懔檩
lin4	吝膦蔺赁躏
ling2	伶凌囹坽姈昤柃棂泠澪灵玲瓴祾绫羚翎聆舲苓菱蛉酃铃陵零鲮鸰龄㥄
ling3	岭领
ling4	令另呤
liu1	溜熘
liu2	刘旒榴流浏琉瑬留疁瘤硫遛鎏镏镠飗馏骝鹠
liu3	柳珋绺罶锍
liu4	六鹨
long2	哢
long3	垄拢陇
long4	咙昽栊泷漋珑癃眬砻窿笼聋胧茏隆龙
lou1	䁖
lou2	漏瘘镂陋
lou3	嵝搂篓
lou4	偻剅喽娄楼溇耧蒌蝼髅𪣻
lu	氇
lu1	噜撸
lu2	卢垆庐栌泸炉胪舻芦轳颅鲈鸬𬬻
lu3	卤掳橹澛虏镥鲁
